RA,Dec,Distance,Name,Max
77.00295833333332,-37.48833333333334,11.0,SN1993af,1993/11/14
145.099125,14.936444444444446,56.932,SN1993C,1993/01/26
208.20974999999999,-30.70647222222222,95.0,SN1993H,1993/03/20
344.47024999999996,-35.85744444444445,19.0,SN1993L,1993/05/05
356.067875,10.768638888888889,22.0,SN1993R,1993/06/01
52.85170833333332,39.75075,90.0,SN1993Y,1993/09/29
137.58166666666665,7.027833333333334,26.0,SN1993Z,1993/09/23
51.205791666666656,-3.042638888888889,37.0,SN1994aa,1994/09/10
161.7580833333333,17.275222222222222,26.5,SN1994ae,1994/11/28
44.15725,-33.912055555555554,99.0,SN1994ah,1994/10/12
188.50997916666662,7.701583333333334,11.4,SN1994D,1994/03/21
187.78587499999998,0.6054444444444445,94.0,SN1994M,1994/04/30
187.84104166666665,29.134444444444444,64.0,SN1994S,1994/06/14
196.23387499999998,-7.947694444444445,22.0,SN1994U,1994/06/27
41.45345833333332,3.2305833333333336,74.0,SN1995ak,1995/10/31
147.73320833333332,33.552611111111105,27.0,SN1995al,1995/11/07
11.959,29.95975,76.2,SN1995am,1995/10/21
71.33849999999998,11.067361111111111,55.0,SN1995bd,1996/01/03
145.22813749999997,5.1406,30.0,SN1995D,1995/02/19
117.9864583333333,73.00961111111111,38.1,SN1995E,1995/02/24
17.748041666666666,33.14505555555556,62.0,SN1995Y,1995/08/27
214.60587499999997,36.494083333333336,32.0,SN1996aa,1996/05/15
197.7422083333333,37.05983333333333,14.0,SN1996ai,1996/06/21
206.74158333333332,60.97025,27.0,SN1996bk,1996/10/09
93.96958333333333,64.43,62.6,SN1996bn,1996/10/16
27.09525,11.520861111111111,57.0,SN1996bo,1996/10/30
102.99166666666665,16.29527777777778,39.76,SN1996bt,1996/11/09
94.05433333333332,57.05277777777778,59.0,SN1996bv,1996/11/16
89.60291666666666,68.45294444444444,62.6,SN1996by,1996/12/13
337.74691666666666,-13.997472222222221,57.0,SN1996ca,1996/12/14
208.2192083333333,2.8083888888888886,69.41,SN1996P,1996/03/24
199.5047083333333,-26.845916666666664,21.0,SN1996X,1996/04/18
144.18674999999996,-21.147694444444443,30.0,SN1996Z,1996/05/13
191.72395833333331,-11.642555555555555,30.0,SN1997bp,1997/04/11
154.2722083333333,73.38391666666668,38.4,SN1997bq,1997/04/20
200.17666666666668,-22.03675,20.0,SN1997br,1997/04/20
212.49066666666664,17.542305555555558,72.0,SN1997cn,1997/05/19
203.83654166666665,-34.20322222222222,85.0,SN1997cv,1997/06/10
6.321958333333333,12.885055555555555,58.0,SN1997cw,1997/06/27
289.58675,-60.495,58.1,SN1997de,1997/08/26
111.67708333333331,47.093333333333334,44.0,SN1997do,1997/11/14
38.52699999999999,32.93705555555555,67.1,SN1997dp,1997/10/31
